"FarmID","CowID","TX_nr","Sex","Age","haircoat_colour","DateCollected","Season","pregnancy_status","TrypAdmin","Tryp1","Tryp2","Brand","Brand1","Brand2","other_brand","expiry_date","RouteOfAdmin","storage_conditions","Reason_for_treatment","ISM_DoseTypeSachet","ISM_Sachets_Used","ISM_dilution","CompetentAdmin","DZ_Sachets_Used","DZ_dilution","HM_tabs_used","HM_dilution","Girth_length","Body_condition","Abnormalities","Symptoms","presumed_diagnosis","PCV_TX","microscopy_TX","Distance","Herd_size","weight_kg","dose_mg_1","dose_mg_2","dosage_mg_kg_1","dosage_mg_kg_2","dose_description1","dose_description2","dose_description_prophylaxis","dose_description_combined","route_appropriate","adequate_admin","adequate_admin_p","PCR_TX_results","Brucei_TX","Congolense_TX","Vivax_TX","FU1_date","PCR_FU1_results","Brucei_FU1","Congolense_FU1","Vivax_FU1","FU2_date","PCR_FU2_results","Brucei_FU2","Congolense_FU2","Vivax_FU2","FU3_date","PCR_FU3_results","Brucei_FU3","Congolense_FU3","Vivax_FU3","FU4_date","PCR_FU4_results","Brucei_FU4","Congolense_FU4","Vivax_FU4","infected_TX","curative_action","prophylactic_action"
"6","1162","2","F","8","red/brown/tan","21/03/2022","Long rains","0","isometamidium","isometamidium",NA,"ISM-A","ISM-A",NA,NA,"15/02/2025","intramuscularly","storage is suitable","prophylactic administration (animal not sick)","8 dose satchet","0.125","water from bore hole","yes the medication was delivered in a competent manner",NA,NA,NA,NA,"136","2.5","no","no symptoms","healthy","29","no","0","40","187.8138248","125",NA,"0.66555271",NA,"adequate dose",NA,"prophylactic dose","therapeutic dose","correct","YES","YES","0","0","0","0","28/03/2022","not found",NA,NA,NA,"20/04/2022","0","0","0","0","16/05/2022","0","0","0","0","08/06/2022","0","0","0","0",NA,NA,"success"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","1164","1","F","8","white","21/03/2022","Long rains","0","isometamidium","isometamidium",NA,"ISM-A","ISM-A",NA,NA,"15/02/2025","intramuscularly","storage is suitable","prophylactic administration (animal not sick)","8 dose satchet","0.125","water from bore hole","yes the medication was delivered in a competent manner",NA,NA,NA,NA,"158","3","no","no symptoms","healthy","34","no","0","40","292.2082027","125",NA,"0.427777177",NA,"underdose",NA,"underdose","non-therapeutic dose","correct","NO","NO","0","0","0","0","28/03/2022","0","0","0","0","20/04/2022","0","0","0","0","16/05/2022","0","0","0","0","08/06/2022","1","1","0","0","0","null","failure"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","1165","1","F","7","patches of white and brown/black/tan/red","01/06/2021","Dry","1","diminazine","diminazine",NA,"DA-A","DA-A",NA,"DA-A","15/05/2023","orally intramuscularly","storage is suitable","treatment of a clinically sick animal",NA,NA,NA,"no the medication was not delivered in a competent manner","1","boiled water",NA,NA,"134","2.5","yes","nasal or ocular discharge or abnormalities other","other","30","no","0","40","179.9374273","1050",NA,"5.835361857",NA,"adequate dose",NA,NA,"therapeutic dose","incorrect","NO","NO","1","0","1","0","08/06/2021","0","0","0","0","29/06/2021","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","success",NA
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","1166","1","M","3.5","red/brown/tan","21/03/2022","Long rains","0","isometamidium","isometamidium",NA,"ISM-A","ISM-A",NA,NA,"15/02/2025","intramuscularly","storage is suitable","prophylactic administration (animal not sick)","8 dose satchet","0.125","water from bore hole","yes the medication was delivered in a competent manner",NA,NA,NA,NA,"158","3","yes","skin lesions","other","37","no","0","40","292.2082027","125",NA,"0.427777177",NA,"underdose",NA,"underdose","non-therapeutic dose","correct","NO","NO","0","0","0","0","28/03/2022","0","0","0","0","20/04/2022","0","0","0","0","16/05/2022","0","0","0","0","08/06/2022","0","0","0","0","0","null","success"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","1171","1","M","2","red/brown/tan","01/06/2021","Dry","0","homidium","homidium",NA,"HM","HM",NA,NA,"29/10/2021","intramuscularly","storage is suitable","treatment of a clinically sick animal",NA,NA,NA,"no the medication was not delivered in a competent manner",NA,NA,"1","boiled water","138","2.5","no","no symptoms","healthy","28","yes","0","40","195.941793","250",NA,"1.275889111",NA,"adequate dose",NA,NA,"therapeutic dose","correct","NO","NO","1","1","0","0","08/06/2021","0","0","0","0","29/06/2021","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","success",NA
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","1171","2","M","2","red/brown/tan","21/03/2022","Long rains","0","isometamidium","isometamidium",NA,"ISM-A","ISM-A",NA,NA,"15/02/2025","intramuscularly","storage is suitable","prophylactic administration (animal not sick)","8 dose satchet","0.125","water from bore hole","yes the medication was delivered in a competent manner",NA,NA,NA,NA,"152","3.5","no","no symptoms","healthy","36","no","0","40","260.3178627","125",NA,"0.480182185",NA,"underdose",NA,"underdose","non-therapeutic dose","correct","NO","NO","1","0","0","1","28/03/2022","0","0","0","0","20/04/2022","0","0","0","0","16/05/2022","0","0","0","0","08/06/2022","0","0","0","0","1","success","success"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","1176","1","M","3.5","patches of white and brown/black/tan/red","21/03/2022","Long rains","0","homidium diminazine","homidium","diminazine","HM & DA-F","HM","DA-F",NA,"15/06/2025","intramuscularly","storage is suitable","prophylactic administration (animal not sick)",NA,NA,NA,"yes the medication was delivered in a competent manner",NA,NA,"1","water from bore hole","152","3.5","no","no symptoms","healthy","43","no","0","40","260.3178627","250",NA,"0.960364369",NA,"underdose",NA,NA,"non-therapeutic dose","correct","NO",NA,"0","0","0","0","28/03/2022","0","0","0","0","20/04/2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","null",NA
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","1177","1","F","2.5","black","01/06/2021","Dry","0","isometamidium","isometamidium",NA,"ISM-A","ISM-A",NA,NA,"15/09/2024","intramuscularly","storage is suitable","treatment of a clinically sick animal","single dose satchet","1","boiled water","no the medication was not delivered in a competent manner",NA,NA,NA,NA,"122","2","yes","rough hair coat","tryps","32","no","0","40","137.6809176","125",NA,"0.907896331",NA,"adequate dose",NA,"prophylactic dose","therapeutic dose","correct","NO","NO","0","0","0","0","08/06/2021","not found",NA,NA,NA,"29/06/2021","0","0","0","0","20/07/2021","0","0","0","0","25/08/2021","1","1","0","0",NA,NA,"failure"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","1301","1","F","6","red/brown/tan","01/06/2021","Dry","0","homidium","homidium",NA,"HM","HM",NA,NA,"15/05/2025","intramuscularly","storage is suitable","treatment of a clinically sick animal",NA,NA,NA,"yes the medication was delivered in a competent manner",NA,NA,"1","boiled water","130","1.5","yes","rough hair coat cough","tryps","35","no","0","40","164.9190785","250",NA,"1.51589496",NA,"overdose",NA,NA,"therapeutic dose","correct","YES",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","1303","1","M","3","white","21/03/2022","Long rains","0","isometamidium","isometamidium",NA,"ISM-A","ISM-A",NA,NA,"15/02/2025","intramuscularly","storage is suitable","prophylactic administration (animal not sick)","8 dose satchet","0.125","water from bore hole","yes the medication was delivered in a competent manner",NA,NA,NA,NA,"150","3","no","no symptoms","healthy","33","no","0","40","250.2828149","125",NA,"0.499435009",NA,"underdose",NA,"underdose","non-therapeutic dose","correct","NO","NO","0","0","0","0","28/03/2022","1","0","0","1","20/04/2022","0","0","0","0","16/05/2022","0","0","0","0","08/06/2022","0","0","0","0","1","success","success"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","1304","1","F","6","white","21/03/2022","Long rains","1","isometamidium","isometamidium",NA,"ISM-A","ISM-A",NA,NA,"15/02/2025","intramuscularly","storage is suitable","prophylactic administration (animal not sick)","8 dose satchet","0.125","water from bore hole","yes the medication was delivered in a competent manner",NA,NA,NA,NA,"140","3","no","no symptoms","healthy","41","no","0","40","204.3264566","125",NA,"0.611766103",NA,"adequate dose",NA,"prophylactic dose","therapeutic dose","correct","YES","YES","0","0","0","0","28/03/2022","1","0","1","1","20/04/2022","0","0","0","0","16/05/2022","0","0","0","0","08/06/2022","0","0","0","0","1","success","success"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","1305","1","F","3.5","red/brown/tan","01/06/2021","Dry","0","diminazine","diminazine",NA,"DA-A","DA-A",NA,"DA-A","15/05/2023","intramuscularly","storage is suitable","treatment of a clinically sick animal",NA,NA,NA,"yes the medication was delivered in a competent manner","1","boiled water",NA,NA,"124","2.5","no","no symptoms","healthy","30","no","0","40","144.1528979","1050",NA,"7.283932652",NA,"overdose",NA,NA,"therapeutic dose","correct","YES",NA,"0","0","0","0","08/06/2021","0","0","0","0","29/06/2021","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","null",NA
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","1305","2","F","3.5","red/brown/tan","21/03/2022","Long rains","0","isometamidium","isometamidium",NA,"ISM-A","ISM-A",NA,NA,"15/02/2025","intramuscularly","storage is suitable","prophylactic administration (animal not sick)","8 dose satchet","0.125","water from bore hole","yes the medication was delivered in a competent manner",NA,NA,NA,NA,"134","2.5","no","no symptoms","healthy","29","no","0","40","179.9374273","125",NA,"0.694685935",NA,"adequate dose",NA,"prophylactic dose","therapeutic dose","correct","YES","YES","1","0","1","0","28/03/2022","0","0","0","0","20/04/2022","0","0","0","0","16/05/2022","0","0","0","0","08/06/2022","0","0","0","0","1","success","success"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","1306","1","F","5","red/brown/tan","21/03/2022","Long rains","0","isometamidium","isometamidium",NA,"ISM-A","ISM-A",NA,NA,"15/02/2025","intramuscularly","storage is suitable","prophylactic administration (animal not sick)","8 dose satchet","0.125","water from bore hole","yes the medication was delivered in a competent manner",NA,NA,NA,NA,"132","2","yes","rough hair coat","tryps","32","no","0","40","172.3075224","125",NA,"0.725447144",NA,"adequate dose",NA,"prophylactic dose","therapeutic dose","correct","YES","YES","0","0","0","0","28/03/2022","1","0","0","1","20/04/2022","0","0","0","0","16/05/2022","0","0","0","0","08/06/2022","0","0","0","0","1","success","success"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","1211","1","M","1.5","red/brown/tan","04/08/2021","Dry","0","isometamidium","isometamidium",NA,"ISM-A","ISM-A",NA,NA,"07/08/2021","intramuscularly","storage is suitable","prophylactic administration (animal not sick)","8 dose satchet","0.125","rainwater","no the medication was not delivered in a competent manner",NA,NA,NA,NA,"136","3","no","no symptoms","healthy",NA,NA,"0","112","187.8138248","125",NA,"0.66555271",NA,"adequate dose",NA,"prophylactic dose","therapeutic dose","correct","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","1212","1","F","1.5","red/brown/tan","04/08/2021","Dry","0","isometamidium","isometamidium",NA,"ISM-A","ISM-A",NA,NA,"15/06/2023","intramuscularly","storage is suitable","prophylactic administration (animal not sick)","8 dose satchet","0.1","rainwater","no the medication was not delivered in a competent manner",NA,NA,NA,NA,"114","2.5","no","no symptoms","healthy",NA,NA,"0","112","113.9157902","100",NA,"0.877841428",NA,"adequate dose",NA,"prophylactic dose","therapeutic dose","correct","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","1214","1","F","4.5","red/brown/tan","04/08/2021","Dry","0","isometamidium","isometamidium",NA,"ISM-A","ISM-A",NA,NA,"15/06/2023","intramuscularly","storage is suitable","prophylactic administration (animal not sick)","8 dose satchet","0.125","rainwater","no the medication was not delivered in a competent manner",NA,NA,NA,NA,"122","2","no","no symptoms","healthy",NA,NA,"0","112","137.6809176","125",NA,"0.907896331",NA,"adequate dose",NA,"prophylactic dose","therapeutic dose","correct","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","1215","1","F","2","patches of white and brown/black/tan/red","04/08/2021","Dry","0","isometamidium","isometamidium",NA,"ISM-A","ISM-A",NA,NA,"15/06/2023","intramuscularly","storage is suitable","prophylactic administration (animal not sick)","8 dose satchet","0.1","rainwater","no the medication was not delivered in a competent manner",NA,NA,NA,NA,"114","2.5","no","no symptoms","healthy",NA,NA,"0","112","113.9157902","100",NA,"0.877841428",NA,"adequate dose",NA,"prophylactic dose","therapeutic dose","correct","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","1219","1","M","3","red/brown/tan","04/08/2021","Dry","0","isometamidium","isometamidium",NA,"ISM-A","ISM-A",NA,NA,"15/06/2023","intramuscularly","storage is suitable","prophylactic administration (animal not sick)","8 dose satchet","0.125","rainwater","yes the medication was delivered in a competent manner",NA,NA,NA,NA,"138","3","no","no symptoms","healthy",NA,NA,"0","112","195.941793","125",NA,"0.637944555",NA,"adequate dose",NA,"prophylactic dose","therapeutic dose","correct","YES","YES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","1220","1","F","6","red/brown/tan","04/08/2021","Dry","0","isometamidium","isometamidium",NA,"ISM-A","ISM-A",NA,NA,"15/06/2023","intramuscularly","storage is suitable","prophylactic administration (animal not sick)","8 dose satchet","0.125","rainwater","no the medication was not delivered in a competent manner",NA,NA,NA,NA,"122","2","no","no symptoms","healthy",NA,NA,"0","112","137.6809176","125",NA,"0.907896331",NA,"adequate dose",NA,"prophylactic dose","therapeutic dose","correct","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","1221","1","F","3","red/brown/tan","04/08/2021","Dry","0","isometamidium","isometamidium",NA,"ISM-A","ISM-A",NA,NA,"15/06/2023","intramuscularly","storage is suitable","prophylactic administration (animal not sick)","8 dose satchet","0.125","rainwater","no the medication was not delivered in a competent manner",NA,NA,NA,NA,"120","2","no","no symptoms","healthy",NA,NA,"0","112","131.4259429","125",NA,"0.951105978",NA,"adequate dose",NA,"prophylactic dose","therapeutic dose","correct","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","1222","1","F","8","red/brown/tan","04/08/2021","Dry","0","isometamidium","isometamidium",NA,"ISM-A","ISM-A",NA,NA,"07/08/2021","intramuscularly","storage is suitable","prophylactic administration (animal not sick)","8 dose satchet","0.125","rainwater","no the medication was not delivered in a competent manner",NA,NA,NA,NA,"136","2","no","no symptoms","healthy",NA,NA,"0","112","187.8138248","125",NA,"0.66555271",NA,"adequate dose",NA,"prophylactic dose","therapeutic dose","correct","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","1227","1","F","6.5","red/brown/tan","04/08/2021","Dry","0","isometamidium","isometamidium",NA,"ISM-A","ISM-A",NA,NA,"15/06/2023","intramuscularly","storage is suitable","prophylactic administration (animal not sick)","8 dose satchet","0.125","rainwater","no the medication was not delivered in a competent manner",NA,NA,NA,NA,"133","2","no","no symptoms","healthy",NA,NA,"0","112","176.0919789","125",NA,"0.709856297",NA,"adequate dose",NA,"prophylactic dose","therapeutic dose","correct","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","1229","1","F","8","patches of white and brown/black/tan/red","04/08/2021","Dry","0","isometamidium","isometamidium",NA,"ISM-A","ISM-A",NA,NA,"15/06/2023","intramuscularly","storage is suitable","prophylactic administration (animal not sick)","8 dose satchet","0.125","rainwater","no the medication was not delivered in a competent manner",NA,NA,NA,NA,"134","2","no","no symptoms","healthy",NA,NA,"0","112","179.9374273","125",NA,"0.694685935",NA,"adequate dose",NA,"prophylactic dose","therapeutic dose","correct","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","1230","1","F","7.5","red/brown/tan","04/08/2021","Dry","0","isometamidium","isometamidium",NA,"ISM-A","ISM-A",NA,NA,"15/06/2023","intramuscularly","storage is suitable","prophylactic administration (animal not sick)","8 dose satchet","0.125","rainwater","no the medication was not delivered in a competent manner",NA,NA,NA,NA,"118","2","no","no symptoms","healthy",NA,NA,"0","112","125.3832239","125",NA,"0.996943579",NA,"adequate dose",NA,"prophylactic dose","therapeutic dose","correct","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","1233","1","F","5","red/brown/tan","04/08/2021","Dry","1","isometamidium","isometamidium",NA,"ISM-A","ISM-A",NA,NA,"15/06/2023","intramuscularly","storage is suitable","prophylactic administration (animal not sick)","8 dose satchet","0.125","rainwater","no the medication was not delivered in a competent manner",NA,NA,NA,NA,"126","2","no","no symptoms","healthy",NA,NA,"0","112","150.8466809","125",NA,"0.828655952",NA,"adequate dose",NA,"prophylactic dose","therapeutic dose","correct","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","1234","1","M","3.5","red/brown/tan","04/08/2021","Dry","0","isometamidium","isometamidium",NA,"ISM-A","ISM-A",NA,NA,"15/06/2023","intramuscularly","storage is suitable","prophylactic administration (animal not sick)","8 dose satchet","0.125","rainwater","no the medication was not delivered in a competent manner",NA,NA,NA,NA,"148","3.5","no","no symptoms","healthy",NA,NA,"0","112","240.5361822","125",NA,"0.519672337",NA,"adequate dose",NA,"prophylactic dose","therapeutic dose","correct","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","1235","1","F","7","red/brown/tan","04/08/2021","Dry","0","isometamidium","isometamidium",NA,"ISM-A","ISM-A",NA,NA,"15/06/2023","intramuscularly","storage is suitable","prophylactic administration (animal not sick)","8 dose satchet","0.125","rainwater","no the medication was not delivered in a competent manner",NA,NA,NA,NA,"135","2","no","no symptoms","healthy",NA,NA,"0","112","183.8444982","125",NA,"0.679922441",NA,"adequate dose",NA,"prophylactic dose","therapeutic dose","correct","NO","NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
